individual,observation_date,type,species,urban_gradient,temperature,light,condition,condition_sequence,light_2,start_line,finish_line,duration_from_light,duration_from_start,condition2
11,8/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,white,28 / white,1,9.333,15.867,23.567,14.267,7.7,28 / white / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,7.367,37.233,123,115.633,85.767,32 / UV / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,18.133,23.367,48.033,29.867,24.666,32 / white / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,16.733,20.267,20.367,3.534,0.1,28 / UV / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,20.733,22.033,24.167,3.467,2.134,28 / white / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,15.667,17.9,39.733,24.066,21.833,32 / UV / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,13.633,35.5,46.933,33.3,11.433,32 / white / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,7.2,7.767,9.567,2.367,1.8,28 / UV / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,16.333,16.967,18.4,2.034,1.433,28 / white / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,13.7,15.233,25.533,11.9,10.3,32 / UV / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,24.8,26.1,31.933,7.167,5.833,32 / white / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,30.833,38.533,53.3,22.434,14.767,28 / UV / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,10.733,32.3,62,51.267,29.7,28 / white / Urban
16,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,34.667,38.133,48.867,14.166,10.734,32 / UV / Urban
16,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,26.3,30.933,39.333,13.1,8.4,32 / white / Urban
16,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,12.7,13.367,14.333,1.633,0.966,28 / UV / Urban
16,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,28.933,30.733,37.2,8.234,6.467,28 / white / Urban
18,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,23.133,38.7,43.933,20.734,5.233,32 / UV / Urban
18,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,10.667,13.933,18.233,7.6,4.3,32 / white / Urban
18,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,13.467,,,,120,28 / UV / Urban
18,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,13.933,19.1,23.433,9.5,4.333,28 / white / Urban
20,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,12.067,14.533,27.533,15.433,13,32 / UV / Urban
20,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,15.6,16.633,27.333,11.733,10.7,32 / white / Urban
20,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,8.8,9.4,16.533,7.767,7.133,28 / UV / Urban
20,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,10.4,20.9,30.667,20.167,9.767,28 / white / Urban
21,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,25.9,32.067,36.133,10.3,4.066,32 / UV / Urban
21,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,10.3,15.833,19.733,9.5,3.9,32 / white / Urban
21,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,23.3,52.267,58.4,35.1,6.133,28 / UV / Urban
21,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,11.167,13.233,16.833,5.8,3.6,28 / white / Urban
22,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,20.633,23.433,26.9,6.234,3.467,32 / UV / Urban
22,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,13.933,15.067,18.333,4.367,3.266,32 / white / Urban
22,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,16.467,22.333,25.4,8.933,3.067,28 / UV / Urban
22,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,36.2,38.167,45.133,8.967,6.966,28 / white / Urban
23,13/05/2024,Native,Leioproctus,Natural,32,UV,32 / UV,3,24.433,39.967,49.3,24.967,9.333,32 / UV / Natural
23,13/05/2024,Native,Leioproctus,Natural,32,white,32 / white,4,5.8,20.533,,,120,32 / white / Natural
23,13/05/2024,Native,Leioproctus,Natural,28,UV,28 / UV,1,4.6,8.5,23.033,18.4,14.533,28 / UV / Natural
23,13/05/2024,Native,Leioproctus,Natural,28,white,28 / white,2,3,,,,120,28 / white / Natural
24,13/05/2024,Native,Leioproctus,Natural,32,UV,32 / UV,3,12.033,17.233,31.833,19.834,14.6,32 / UV / Natural
24,13/05/2024,Native,Leioproctus,Natural,32,white,32 / white,4,7.933,37.567,46.067,38.167,8.5,32 / white / Natural
24,13/05/2024,Native,Leioproctus,Natural,28,UV,28 / UV,2,4.567,31.633,39.767,35.166,8.134,28 / UV / Natural
24,13/05/2024,Native,Leioproctus,Natural,28,white,28 / white,1,4.633,19.067,29.167,24.534,10.1,28 / white / Natural
25,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,UV,32 / UV,4,4.433,13.133,15.533,11.1,2.4,32 / UV / Natural
25,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,white,32 / white,3,9.167,56.7,62.067,53,5.367,32 / white / Natural
25,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,UV,28 / UV,2,3.167,10.867,14.4,11.233,3.533,28 / UV / Natural
25,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,white,28 / white,1,21.133,30.033,43.867,22.667,13.834,28 / white / Natural
26,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,UV,32 / UV,1,17.067,21.1,29.433,12.366,8.333,32 / UV / Natural
26,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,white,32 / white,2,8.067,12.467,17.2,9.166,4.733,32 / white / Natural
26,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,UV,28 / UV,3,4.367,5.8,10.467,6.066,4.667,28 / UV / Natural
26,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,white,28 / white,4,4.767,57.3,67.133,62.366,9.833,28 / white / Natural
27,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,UV,32 / UV,1,17.233,,,,120,32 / UV / Natural
27,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,white,32 / white,2,8.433,10.833,15.333,6.834,4.5,32 / white / Natural
27,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,UV,28 / UV,3,6.267,27.533,40.033,33.9,12.5,28 / UV / Natural
27,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,white,28 / white,4,5.067,41.467,45.733,40.6,4.266,28 / white / Natural
28,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,UV,32 / UV,2,7.8,8.3,47.467,39.667,39.167,32 / UV / Natural
28,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,white,32 / white,1,11.867,13.567,20.933,9.033,7.366,32 / white / Natural
28,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,UV,28 / UV,3,8.333,14.967,29.467,21.134,14.5,28 / UV / Natural
28,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,white,28 / white,4,4.367,6.767,21.9,17.566,15.133,28 / white / Natural
29,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,UV,32 / UV,1,25.5,37.6,76.567,51.033,38.967,32 / UV / Natural
29,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,white,32 / white,2,2.9,4.033,20.1,17.167,16.067,32 / white / Natural
29,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,UV,28 / UV,4,5,7.5,12.267,7.267,4.767,28 / UV / Natural
29,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,white,28 / white,3,3.933,5.167,14.1,10.167,8.933,28 / white / Natural
31,13/05/2024,Native,Exoneura,Natural,32,UV,32 / UV,1,10.2,17.7,68.433,58.167,50.733,32 / UV / Natural
31,13/05/2024,Native,Exoneura,Natural,32,white,32 / white,2,5.9,6.433,15.1,9.233,8.667,32 / white / Natural
31,13/05/2024,Native,Exoneura,Natural,28,UV,28 / UV,4,8.3,,,,120,28 / UV / Natural
31,13/05/2024,Native,Exoneura,Natural,28,white,28 / white,3,6.967,46.033,53.233,46.233,7.2,28 / white / Natural
32,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,UV,32 / UV,2,6.533,10.333,16.667,10.134,6.334,32 / UV / Natural
32,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,32,white,32 / white,1,3.8,8.267,16.967,13.167,8.7,32 / white / Natural
32,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,UV,28 / UV,3,3.767,4.7,15.5,11.766,10.8,28 / UV / Natural
32,13/05/2024,Native,Lasioglossum (Parasphecodes),Natural,28,white,28 / white,4,3.633,6.067,11,7.4,4.933,28 / white / Natural
33,13/05/2024,Native,Lasioglossum (Homalictus),Natural,32,UV,32 / UV,2,4.267,6.7,13.9,9.666,7.2,32 / UV / Natural
33,13/05/2024,Native,Lasioglossum (Homalictus),Natural,32,white,32 / white,1,4.233,12.533,26.467,22.267,13.934,32 / white / Natural
33,13/05/2024,Native,Lasioglossum (Homalictus),Natural,28,UV,28 / UV,4,7.733,19.7,42.033,34.3,22.333,28 / UV / Natural
33,13/05/2024,Native,Lasioglossum (Homalictus),Natural,28,white,28 / white,3,5.7,22.367,56.467,50.733,34.1,28 / white / Natural
34,13/05/2024,Native,Leioproctus,Natural,32,UV,32 / UV,2,11.9,21.433,29.8,17.933,8.367,32 / UV / Natural
34,13/05/2024,Native,Leioproctus,Natural,32,white,32 / white,1,4.133,7.833,15.367,11.267,7.534,32 / white / Natural
34,13/05/2024,Native,Leioproctus,Natural,28,UV,28 / UV,4,5.633,8.3,27.333,21.667,19.033,28 / UV / Natural
34,13/05/2024,Native,Leioproctus,Natural,28,white,28 / white,3,4,9.167,18.867,14.833,9.7,28 / white / Natural
35,13/05/2024,Native,Leioproctus,Natural,32,UV,32 / UV,1,6.967,8.433,94.575,87.608,86.142,32 / UV / Natural
